,weights_in
351,-0.17763245032776573
352,-0.4330344741345068
353,-0.14042536036866202
354,0.08520144594246666
355,0.26902086993261415
356,-0.5711235853651817
357,0.30682723634462283
358,-1.2938841176180504
359,0.2653384506219469
360,0.5371992554191534
361,-0.046394000567372654
362,0.5196993946338966
363,-0.6045334114626305
364,0.538932490527744
365,-0.01761034870595083
366,0.48517278195065167
367,0.1964759305051722
368,0.20232078629736933
369,0.17658509071728076
370,-0.415829052934224
371,0.15608700669762107
372,-0.5896387441318945
373,-0.003646425077808569
374,0.5278941271466299
375,0.151865478622901
376,-0.7570515800541128
377,0.3011563252702584
378,0.24751998507307937
379,0.40778243969543015
380,0.17890109786385766
381,0.23710871453456037
382,-0.623238059628153
383,-0.3428550062341028
384,0.23589098397159924
385,-0.03945738111260908
386,0.6001991711961584
387,-0.2101204645245736
388,0.6076087911747815
389,-0.29874945616186627
390,0.24847587895205123
391,-0.4032778088809125
392,-0.39504466295779483
393,0.20149815801873636
394,0.033380099780497954
395,-0.4886409615043988
396,-0.05786327796116752
397,0.6792171622232269
398,0.04954706014191896
399,0.7490367190520737
400,-0.13182770986876152
401,0.2830311679032655
402,0.09370500416698357
403,-0.3732495235739722
404,-1.0805173552356366
405,0.09989382936853969
406,0.5081257685937216
407,0.2996448070620889
408,0.31631006226651426
409,0.0912730598834794
410,0.7097592526812803
411,-0.24830413717049682
412,0.3082482750093856
413,-0.276688097404813
414,0.32269910075740527
415,-0.0827907968288196
416,0.3721547878367887
417,-0.242956234265423
418,0.260070973897383
419,0.6408793624803288
420,0.27938008936686254
421,0.2257781257296841
422,0.11448022717189903
423,-0.2584211873950519
424,0.1187972398002755
425,0.12323635724424356
426,-0.42969885922078593
427,0.049248771205803246
428,0.1477417784415136
429,0.6004828804138637
430,0.17129278130209757
431,0.1844483960203438
432,0.8916874917067882
433,0.13569009845508959
434,0.02532660910591095
435,0.00013724768570889554
436,-0.09721086260438323
437,-0.6140443415255428
438,-0.2921668227933546
439,0.4979139744249347
440,0.22716365703269584
441,-0.04019565504582697
442,-0.1403875042428376
443,0.07565956297327782
444,-0.14370259424824577
445,-0.8949995645642917
446,0.2867935885849754
447,-0.0856379673901715
448,-0.6382222814369669
449,-0.0971168107343639
450,-0.4167359473584473
451,0.37114672235934415
452,0.48716604962880355
453,0.395834129324175
454,-0.07073242829443128
455,-0.427366233787299
456,-0.23794582968748815
457,-0.4790948785763031
458,1.0157637189563933
459,-0.4156562856391571
460,-0.062129793514510985
461,-0.05106718110407803
462,-0.5883948965246508
463,-0.46557825877778836
464,0.17016093333218804
465,-0.17706253274169148
466,0.10730308778314196
467,-0.3994504139737797
468,-0.12159661258601412
469,0.29896831864499124
470,-0.611715572895943
471,-0.5280513316609415
472,-0.6788366122426889
473,0.11219163756228002
474,-0.03916758634351504
475,-0.3797346593033657
476,0.49543513066005235
477,-0.41535552820656607
478,0.2005824062822213
479,-0.4876908032050515
480,-0.579071360900601
481,-0.23512975620999618
482,-0.694079501335144
483,0.7480441219103835
484,-0.24748135960781062
485,1.0648930954941507
486,0.40295487024447774
487,-0.2782184898531032
488,0.3123898067273491
489,-0.17645845467096358
490,0.7985989432876087
491,0.4380146240047965
492,-0.4282208074444976
493,0.3372609123436831
494,-0.10859233663377572
495,-0.22534083765634594
496,-0.11041687439351831
497,-0.2946688908823752
498,-0.007235291969017849
499,0.2047133965673741
500,0.29427973385336303
501,-0.14349541736857574
502,0.3814543003240132
503,-0.26455675773495946
504,0.28989789141707356
505,-0.11449987833130933
506,-0.044725501114875325
507,0.006827256702455283
508,-0.3099731286056764
509,-0.2878440486473771
510,0.3491741450579858
511,-0.012234456856779204
512,0.26006215039848923
513,0.7527267657298924
514,0.3381631778059307
515,-0.41927139677877817
516,-0.112997998924392
517,-0.7457541878540123
518,0.17630918494506082
519,0.6322309719391982
520,-0.20322439638340947
521,-0.1161227310908634
522,-0.3400789465029686
523,0.330562138404955
524,0.5576169533451012
525,0.3609884190279147
526,0.1734957696575962
527,-0.8351480987514194
528,0.4286954240471529
529,0.626658592400885
530,0.3075659037334797
531,0.5013477263875104
532,0.13274291248410017
533,-0.43999815657778396
534,0.08923084036722076
535,0.5245229502186599
536,-0.5601238454125292
537,0.45251666432442134
538,0.5478961328911824
