grade,label,rct,tsi,stfi,caliper,moisture,basisweight,cull
NL050310,1/2/2017 12:30,61.0000000000,4.6158330000,16.6141100000,9.1338630000,6.2829650000,32.3491900000,59.5000000000
NL050310,3/2/2017 11:03,63.0000000000,4.6308330000,17.5912600000,8.5564350000,6.3520310000,32.3526000000,59.5000000000
NL050310,1/2/2017 1:50,65.0000000000,4.5308330000,17.0354300000,9.1207400000,6.2723700000,32.3696700000,59.5000000000
NL050310,3/24/2017 1:29,62.0000000000,4.5925000000,14.6137700000,8.5236260000,6.3723800000,32.3730800000,59.5000000000
NL050310,2/10/2017 12:19,60.0000000000,4.4900000000,14.0731800000,8.7959370000,5.7314570000,32.3741700000,59.5000000000
NL050310,3/24/2017 5:04,62.0000000000,4.4883330000,15.4425600000,8.5859620000,6.6140630000,32.3765000000,59.5000000000
NL050310,3/25/2017 8:49,64.0000000000,4.6033330000,17.1827100000,8.7270380000,6.5309700000,32.3969800000,59.5000000000
NL050310,4/9/2017 22:03,62.0000000000,4.4425000000,14.4874100000,8.8156210000,6.3570390000,32.4089200000,59.5000000000
NL050310,1/2/2017 0:40,67.0000000000,4.6950000000,17.0977900000,9.1174590000,6.1890060000,32.4157500000,59.5000000000
NL050310,4/9/2017 23:53,62.0000000000,4.5150000000,16.6426500000,8.8287450000,6.6914070000,32.4294100000,59.5000000000
NL050310,1/2/2017 15:58,62.0000000000,4.5825000000,16.9027500000,9.0748080000,6.3995590000,32.4618300000,59.5000000000
NL050310,3/23/2017 4:48,64.0000000000,4.5100000000,17.2601500000,8.5236260000,6.5969920000,32.4635400000,59.5000000000
NL050310,3/24/2017 9:16,61.0000000000,4.5125000000,14.7039600000,8.5334690000,7.2000090000,32.4772000000,59.5000000000
NL050310,1/28/2017 14:20,63.0000000000,4.5958330000,15.2977800000,8.9665400000,6.4535940000,32.4959700000,59.5000000000
