,rct,tsi,stfi,caliper,moisture,basis,cull,grade_CM020230,grade_CM020330,grade_CM020410,grade_NL050310,grade_NL050350,grade_NL050420,grade_CM020230,grade_CM020330,grade_CM020410,grade_NL050310,grade_NL050350,grade_NL050420,prediction
106,33.0,3.5025,10.9109,7.9692,7.3027,23.6735,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.043590070089145
107,33.0,3.4508,10.4232,7.9232,7.8087,23.6735,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.49573956430423
108,31.0,3.5375,10.3498,7.7854,7.3481,23.675,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.42903602300987
109,29.0,3.54,11.4251,7.7165,8.091,23.6862,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.08646923464409
110,30.0,3.5008,11.049,7.874,8.0843,23.7127,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.08536911402821
111,30.0,3.4227,10.6406,8.0351,8.2503,23.7178,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.0947489238214
112,32.0,3.4108,11.0332,8.0742,7.9609,23.7216,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.154087092583914
113,35.0,3.4775,10.9345,7.7887,8.1915,23.7247,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.811114491206283
114,31.0,3.3317,10.1983,7.7658,8.4449,23.7322,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.100772968054265
115,30.0,3.3917,10.1385,8.0906,6.3154,23.7424,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.18685101862323
116,31.0,3.3283,10.32,8.0413,7.8906,23.7452,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.331530180232427
117,31.0,3.3767,10.4648,7.9889,8.1264,23.7571,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.626198961688708
118,30.0,3.3433,10.4559,8.1759,8.4769,23.7827,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.33326844964911
119,32.0,3.5433,11.5245,7.7428,8.263,23.7964,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.37524417382279
120,33.0,3.4792,11.1393,8.0446,7.7047,23.8032,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.337679585025754
121,33.0,3.455,10.4415,8.2349,7.788,23.8032,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.390321233242
122,36.0,3.4642,10.6964,8.0217,6.8029,23.8035,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.17840893419446
123,30.0,3.3042,10.2203,8.3957,7.78,23.8442,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.16090549173039
124,32.0,3.2842,9.9981,8.1234,7.8345,23.8646,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.232012488211133
125,30.0,3.5475,11.4035,8.1496,7.7974,23.8705,27.5,1,0,0,0,0,0,1,0,0,0,0,0,33.12553901894134
126,31.0,3.4175,10.7884,8.1824,8.0461,23.9227,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.46787803736823
127,34.0,3.5167,10.8816,8.1726,7.673,23.9687,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.7519944998086
128,32.0,3.355,10.8203,8.1168,7.628,24.0319,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.899847394414763
129,30.0,3.2833,10.717,9.4291,6.5785,24.0894,27.5,1,0,0,0,0,0,1,0,0,0,0,0,36.54229864052872
130,31.0,3.4527,10.3236,8.2427,7.5746,24.0977,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.39551407279928
131,31.0,3.4092,10.9034,8.9042,8.1911,24.1702,27.5,1,0,0,0,0,0,1,0,0,0,0,0,34.97270662422659
132,36.0,3.55,11.0375,8.0413,7.9174,24.2858,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.83548933997192
133,32.0,3.635,11.025,8.1398,6.7938,24.3211,27.5,1,0,0,0,0,0,1,0,0,0,0,0,33.81310644080389
