,tsi,stfi,caliper,moisture,basisweight,rct,prediction,,,
197,4.76,28.78,15.37,6.74,52.27,127,122.728284,-4.271716043,4.271716043,
198,4.72,29.34,14.34,6.55,52.27,124,123.4895776,-0.510422361,0.510422361,
199,5.17,29.8,15.27,6.43,52.27,121,125.3250311,4.325031141,4.325031141,
200,4.96,29.51,15.43,6.57,52.28,128,124.0240578,-3.975942159,3.975942159,
201,4.4,25.75,15.62,5.74,52.28,120,121.4143201,1.414320133,1.414320133,
202,4.94,27.34,15.7,5.93,52.28,125,123.9320483,-1.067951694,1.067951694,
203,5.03,27.98,14.52,5.64,52.28,127,125.3257819,-1.674218083,1.674218083,
204,4.97,29.17,15.47,5.93,52.29,125,124.7526011,-0.247398949,0.247398949,
205,4.98,28.91,15.33,6.11,52.29,129,124.640042,-4.359957951,4.359957951,
206,4.99,29.11,15.4,6.35,52.29,129,124.3782848,-4.621715164,4.621715164,
207,4.96,30.02,14.36,6.65,52.29,127,124.8348909,-2.165109053,2.165109053,
208,4.91,27.54,15.48,6.41,52.29,121,123.4044486,2.40444859,2.40444859,
209,4.86,26.76,15.53,6.17,52.29,127,123.1808923,-3.819107704,3.819107704,
210,5.04,18.66,14.9,6.26,52.29,134,122.2828738,-11.71712618,11.71712618,
211,4.93,25.98,15.58,5.94,52.3,121,123.5071878,2.507187764,2.507187764,
212,5.03,29.9,14.94,6.27,52.3,124,125.2167332,1.216733178,1.216733178,
213,5.05,28.75,15.27,6.38,52.3,124,124.6441209,0.644120946,0.644120946,
214,4.97,26.96,15.65,5.77,52.3,122,124.1726301,2.172630095,2.172630095,
215,4.67,28.16,15.23,6.14,52.3,128,122.9528525,-5.047147521,5.047147521,
216,4.89,28.45,14.44,5.81,52.31,123,124.6860339,1.686033926,1.686033926,
217,5.04,25.15,15.53,6.07,52.31,123,123.6354171,0.6354171,0.6354171,
218,4.28,21.12,15.06,6.4,52.31,121,120.6377187,-0.362281312,0.362281312,
219,4.65,29.11,14.49,6.87,52.31,124,122.724057,-1.275942991,1.275942991,
220,4.78,26.66,15.67,5.58,52.32,123,123.3527666,0.352766562,0.352766562,
221,4.78,26.59,15.29,5.95,52.32,125,123.2124404,-1.787559564,1.787559564,
222,4.86,27.52,14.39,6.64,52.32,123,123.2020148,0.202014826,0.202014826,
223,4.91,28.53,15.82,6.27,52.32,123,123.6738106,0.673810647,0.673810647,
224,5.13,27.59,14.98,6.01,52.33,126,125.3087845,-0.691215522,0.691215522,
225,5.12,29.45,14.68,6.2,52.33,126,125.7386066,-0.261393399,0.261393399,
226,4.89,28.99,15.06,6.65,52.33,122,123.7956878,1.795687816,1.795687816,
227,5.18,28.69,15.36,6.38,52.34,121,125.1515238,4.151523812,4.151523812,
228,4.79,27,15.68,6.19,52.34,126,122.7851179,-3.214882073,3.214882073,
229,5.07,26.37,14.74,6.04,52.34,124,124.525894,0.525894029,0.525894029,
