,tsi,stfi,caliper,moisture,basisweight,cull,rct,prediction
240,4.78,31.27,14.41,6.94,51.99,119.5,122.0,122.1222632854141
241,5.13,29.97,15.4,6.59,51.99,119.5,126.0,125.90997852130046
242,4.96,27.87,15.61,5.92,52.0,119.5,121.0,125.60775774021262
243,5.02,26.54,15.46,6.12,52.0,119.5,116.0,124.45976641395657
244,4.7,27.95,15.91,6.74,52.0,119.5,121.0,122.22722366086956
245,4.91,29.12,15.41,5.78,52.0,119.5,127.0,126.0812464002933
246,5.16,30.42,15.35,6.49,52.0,119.5,128.0,126.49447327276472
247,5.27,30.42,15.21,6.07,52.02,119.5,127.0,127.85725336363849
248,4.94,27.72,14.57,6.36,52.02,119.5,122.0,122.63767695603914
249,4.62,23.49,15.09,6.31,52.03,119.5,126.0,119.72195080421594
250,5.38,30.24,15.45,6.11,52.04,119.5,129.0,128.781758516804
251,5.09,27.65,15.5,6.04,52.04,119.5,120.0,125.81909443470224
252,4.83,29.87,15.01,6.95,52.04,89.5,126.0,104.05694008300956
253,5.17,27.74,15.29,6.09,52.04,119.5,131.0,125.99931082889717
254,4.79,24.29,15.43,6.14,52.05,119.5,122.0,121.7927042862004
255,4.57,26.73,15.43,6.03,52.05,119.5,122.0,122.37146398129877
256,5.12,28.03,15.72,5.82,52.06,119.5,124.0,127.18056116612145
257,5.25,28.44,15.41,5.86,52.07,119.5,132.0,127.63122606667989
258,4.31,23.12,13.97,6.28,52.07,119.5,121.0,117.93348436517212
259,4.85,27.59,15.44,6.36,52.07,119.5,124.0,123.19093780507279
260,5.13,27.27,15.51,6.43,52.07,119.5,129.0,124.97144186092345
261,5.08,27.12,15.02,6.05,52.08,119.5,124.0,124.81338090144098
262,4.41,21.7,15.65,6.57,52.08,119.5,113.0,118.73821358398322
263,4.19,23.96,14.23,6.07,52.08,119.5,122.0,118.84674610723452
264,5.08,30.16,15.07,6.64,52.08,119.5,123.0,125.15776501981946
265,4.93,26.16,15.61,6.13,52.08,119.5,122.0,123.8838577419127
266,5.11,25.61,15.6,5.89,52.09,119.5,121.0,125.61871141234234
267,5.27,28.32,15.37,6.25,52.1,119.5,129.0,126.82430969829463
268,5.0,29.57,15.04,5.98,52.12,119.5,127.0,125.75723876517505
269,5.08,28.16,15.6,6.32,52.12,119.5,122.0,125.43517520291472
270,5.24,29.12,15.49,6.06,52.13,119.5,123.0,127.52544430302797
271,4.73,28.6,14.61,5.84,52.13,119.5,126.0,123.55321053225597
272,4.81,26.3,15.36,6.09,52.14,119.5,122.0,123.05924960874835
273,4.83,30.65,14.29,6.9,52.14,119.5,126.0,122.09367665015706
274,4.8,26.79,15.62,6.4,52.15,119.5,123.0,122.64474978643901
275,4.92,27.01,15.47,6.43,52.15,119.5,126.0,123.2108334978354
276,4.95,28.95,15.31,6.42,52.16,119.5,126.0,124.30694209183098
277,5.12,29.38,15.45,6.21,52.16,119.5,126.0,126.43630686048633
278,4.94,29.31,14.96,6.72,52.16,119.5,127.0,123.31134256645616
279,5.02,29.54,15.3,6.05,52.16,119.5,122.0,126.06255372340172
280,5.02,29.07,15.59,6.24,52.17,119.5,122.0,125.71042108884951
281,5.2,29.44,15.46,5.79,52.17,119.5,126.0,128.04583040030457
282,5.05,25.21,15.39,5.89,52.17,119.5,123.0,124.76080684297706
283,5.01,28.8,15.58,6.19,52.17,119.5,122.0,125.62305680074178
284,4.94,28.65,14.58,6.1,52.17,119.5,121.0,123.9503524701065
285,4.5,25.94,15.11,6.67,52.17,119.5,125.0,119.6875832934348
286,4.98,27.77,15.34,6.42,52.17,119.5,127.0,123.91128509154642
287,4.96,28.94,15.27,6.0,52.18,119.5,123.0,125.5010658798135
288,5.1,29.05,15.05,6.03,52.18,119.5,128.0,126.04242465596205
289,4.86,28.65,15.03,6.45,52.18,119.5,124.0,123.09182453955249
290,5.02,29.33,15.35,6.43,52.19,119.5,125.0,125.06531943731365
291,4.48,23.19,15.75,6.22,52.19,119.5,116.0,120.45058265866888
292,4.82,28.99,15.47,6.42,52.19,119.5,124.0,123.7390636708485
293,5.11,30.4,15.38,6.28,52.19,119.5,127.0,126.6564156642134
294,4.74,29.45,14.63,6.32,52.19,119.5,125.0,122.69524692093368
295,5.01,25.86,14.54,5.83,52.2,119.5,131.0,123.81676853359289
296,4.97,29.42,15.74,6.28,52.2,119.5,122.0,125.69060301386264
297,5.14,29.77,15.24,5.83,52.21,119.5,125.0,127.43411745125036
298,4.99,29.0,14.47,6.15,52.21,119.5,127.0,124.19511976681544
299,4.93,29.49,15.14,6.74,52.21,119.5,124.0,123.56299824220511
300,4.76,28.86,15.33,6.49,52.21,119.5,126.0,122.94647029768008
301,4.92,22.15,14.83,6.35,52.22,119.5,124.0,120.12408815285141
302,5.11,28.99,15.3,6.33,52.22,119.5,124.0,125.72702463206483
303,4.77,29.75,15.16,5.93,52.23,119.5,130.0,124.93010989820368
304,4.81,26.14,14.63,6.38,52.24,119.5,121.0,121.11003754123736
305,5.02,28.72,15.31,5.86,52.24,119.5,128.0,126.26573360753088
306,4.82,27.4,15.51,6.24,52.24,119.5,123.0,123.47332588920136
307,5.08,27.0,15.7,5.82,52.24,119.5,121.0,126.52745291933182
308,4.75,26.4,15.34,6.0,52.25,119.5,126.0,123.13089474434214
309,5.13,28.56,15.42,6.54,52.25,119.5,122.0,125.42093059619751
310,4.61,27.77,14.52,6.92,52.25,119.5,122.0,119.56078058165788
311,5.13,29.24,14.8,6.61,52.25,119.5,130.0,124.90023438612201
312,5.13,28.08,15.43,5.75,52.25,119.5,127.0,127.15539234012945
313,5.1,26.81,15.45,6.47,52.26,119.5,128.0,124.42659754319651
314,4.8,27.96,15.48,6.82,52.26,119.5,123.0,122.13534454320829
315,5.15,29.53,14.97,6.29,52.26,119.5,124.0,125.9832989935729
316,4.84,25.5,15.35,5.59,52.26,119.5,122.0,124.62327002788513
317,4.52,26.15,15.49,6.26,52.26,119.5,125.0,121.43570255560171
318,5.09,27.57,15.18,6.0,52.26,119.5,126.0,125.56877557277699
319,4.98,28.84,15.21,6.3,52.27,119.5,130.0,124.68718734889664
320,4.76,28.78,15.37,6.74,52.27,119.5,127.0,122.36868163233594
321,4.72,29.34,14.34,6.55,52.27,119.5,124.0,121.55186821473848
322,5.19,28.51,15.37,6.56,52.27,89.5,127.0,107.9968540961168
323,5.17,29.8,15.27,6.43,52.27,119.5,121.0,126.40477806061496
324,4.96,29.51,15.43,6.57,52.28,119.5,128.0,124.57231118915871
325,4.4,25.75,15.62,5.74,52.28,119.5,120.0,122.40001033388816
326,4.94,27.34,15.7,5.93,52.28,119.5,125.0,125.47181441055146
327,5.03,27.98,14.52,5.64,52.28,119.5,127.0,125.5013857488481
328,4.97,29.17,15.47,5.93,52.29,119.5,125.0,126.24144743512025
329,4.98,28.91,15.33,6.11,52.29,119.5,129.0,125.43052424939165
330,4.99,29.11,15.4,6.35,52.29,119.5,129.0,125.04691193637991
331,4.96,30.02,14.36,6.65,52.29,119.5,127.0,123.33640090141188
332,4.91,27.54,15.48,6.41,52.29,119.5,121.0,123.58181040667566
333,4.86,26.76,15.53,6.17,52.29,119.5,127.0,123.64156346815943
334,5.04,18.660000000000004,14.9,6.26,52.29,119.5,134.0,119.67881761016018
335,4.93,25.98,15.58,5.94,52.3,119.5,121.0,124.52261962621034
336,5.03,29.9,14.94,6.27,52.3,119.5,124.0,125.3373650826868
337,5.05,28.75,15.27,6.38,52.3,119.5,124.0,125.04094724357498
338,4.97,26.96,15.65,5.77,52.3,119.5,122.0,125.94665873068016
339,4.67,28.16,15.23,6.14,52.3,119.5,128.0,123.06158167307872
340,4.89,28.45,14.44,5.81,52.31,119.5,123.0,124.28322736589408
341,5.04,25.15,15.53,6.07,52.31,119.5,123.0,124.32524679904512
342,4.28,21.12,15.06,6.4,52.31,119.5,121.0,118.35753638559392
343,4.65,29.11,14.49,6.87,52.31,119.5,124.0,120.52667809110791
344,4.78,26.66,15.67,5.58,52.32,119.5,123.0,125.33136773123792
345,4.78,26.59,15.29,5.95,52.32,119.5,125.0,123.52242217788681
346,4.86,27.52,14.39,6.64,52.32,119.5,123.0,121.23318958666908
347,4.91,28.53,15.82,6.27,52.32,119.5,123.0,125.02679431716523
348,5.13,27.59,14.98,6.01,52.33,119.5,126.0,125.58868590943455
349,5.12,29.45,14.68,6.2,52.33,119.5,126.0,125.56694790930682
350,4.89,28.99,15.06,6.65,52.33,119.5,122.0,123.12802557515317
351,5.18,28.69,15.36,6.38,52.34,119.5,121.0,126.16554121554383
352,4.79,27.0,15.68,6.19,52.34,119.5,126.0,123.54868429461848
353,5.07,26.37,14.74,6.04,52.34,119.5,124.0,124.16655801364665
354,5.12,28.09,15.41,6.41,52.34,119.5,125.0,125.37920475443039
355,5.15,29.09,15.37,6.08,52.34,119.5,131.0,126.8024809121536
356,5.07,28.17,15.47,6.63,52.35,119.5,131.0,124.6660551237879
357,5.09,29.66,15.16,5.9,52.35,119.5,129.0,126.8620316880835
358,4.24,27.37,14.38,6.4,52.35,119.5,122.0,119.53459328700771
359,5.02,27.61,15.4,6.69,52.35,119.5,126.0,123.7435851936779
360,4.85,25.98,15.34,6.16,52.35,119.5,126.0,122.96869906813974
361,4.73,27.2,15.64,6.28,52.35,119.5,122.0,123.00641130625496
362,4.9,29.09,15.39,6.63,52.36,119.5,123.0,123.76098911969203
363,4.82,23.72,15.46,6.11,52.37,119.5,120.0,121.97379695198434
